Number,Roman_Numeral,Yoruba
208,CCVIII,Igba ati mejo
209,CCIX,Igba ati mesan
210,CCX,Iwalerugba
211,CCXI,Iwalerugba ati okan
212,CCXII,Iwalerugba ati meji
213,CCXIII,Iwalerugba ati meta
214,CCXIV,Iwalerugba ati merin
215,CCXV,Iwalerugba ati aarun
216,CCXVI,Iwalerugba ati mefa
217,CCXVII,Iwalerugba ati meje
218,CCXVIII,Iwalerugba ati mejo
219,CCXIX,Iwalerugba ati mesan
220,CCXX,Ogunlugba
221,CCXXI,Ogunlugba ati okan
222,CCXXII,Ogunlugba ati meji
223,CCXXIII,Ogunlugba ati meta
224,CCXXIV,Ogunlugba ati merin
225,CCXXV,Ogunlugba ati aarun
226,CCXXVI,Ogunlugba ati mefa
227,CCXXVII,Ogunlugba ati meje
228,CCXXVIII,Ogunlugba ati mejo
229,CCXXIX,Ogunlugba ati mesan
230,CCXXX,Ogbonwolerugba
231,CCXXXI,Ogbonwolerugba ati okan
232,CCXXXII,Ogbonwolerugba ati meji
233,CCXXXIII,Ogbonwolerugba ati meta
234,CCXXXIV,Ogbonwolerugba ati merin
235,CCXXXV,Ogbonwolerugba ati aarun
236,CCXXXVI,Ogbonwolerugba ati mefa
237,CCXXXVII,Ogbonwolerugba ati meje
238,CCXXXVIII,Ogbonwolerugba ati mejo
239,CCXXXIX,Ogbonwolerugba ati mesan
240,CCXL,Ojulugba
241,CCXLI,Ojulugba ati okan
242,CCXLII,Ojulugba ati meji
243,CCXLIII,Ojulugba ati meta
244,CCXLIV,Ojulugba ati merin
245,CCXLV,Ojulugba ati aarun
246,CCXLVI,Ojulugba ati mefa
247,CCXLVII,Ojulugba ati meje
248,CCXLVIII,Ojulugba ati mejo
249,CCXLIX,Ojulugba ati mesan
250,CCL,Aadotalerugba
251,CCLI,Aadotalerugba ati okan
252,CCLII,Aadotalerugba ati meji
253,CCLIII,Aadotalerugba ati meta
254,CCLIV,Aadotalerugba ati merin
255,CCLV,Aadotalerugba ati aarun
256,CCLVI,Aadotalerugba ati mefa
257,CCLVII,Aadotalerugba ati meje
258,CCLVIII,Aadotalerugba ati mejo
259,CCLIX,Aadotalerugba ati mesan
260,CCLX,Otalerugba
261,CCLXI,Otalerugba ati okan
262,CCLXII,Otalerugba ati meji
263,CCLXIII,Otalerugba ati meta
264,CCLXIV,Otalerugba ati merin
265,CCLXV,Otalerugba ati aarun
266,CCLXVI,Otalerugba ati mefa
267,CCLXVII,Otalerugba ati meje
268,CCLXVIII,Otalerugba ati mejo
269,CCLXIX,Otalerugba ati mesan
270,CCLXX,Aadorinlerugba
271,CCLXXI,Aadorinlerugba ati okan
272,CCLXXII,Aadorinlerugba ati meji
273,CCLXXIII,Aadorinlerugba ati meta
274,CCLXXIV,Aadorinlerugba ati merin
275,CCLXXV,Aadorinlerugba ati aarun
276,CCLXXVI,Aadorinlerugba ati mefa
277,CCLXXVII,Aadorinlerugba ati meje
278,CCLXXVIII,Aadorinlerugba ati mejo
279,CCLXXIX,Aadorinlerugba ati mesan
280,CCLXXX,Orinlugba
281,CCLXXXI,Orinlugba ati okan
282,CCLXXXII,Orinlugba ati meji
283,CCLXXXIII,Orinlugba ati meta
284,CCLXXXIV,Orinlugba ati merin
285,CCLXXXV,Orinlugba ati aarun
286,CCLXXXVI,Orinlugba ati mefa
287,CCLXXXVII,Orinlugba ati meje
288,CCLXXXVIII,Orinlugba ati mejo
289,CCLXXXIX,Orinlugba ati mesan
290,CCXC,Aadorunlerugba
291,CCXCI,Aadorunlerugba ati okan
292,CCXCII,Aadorunlerugba ati meji
293,CCXCIII,Aadorunlerugba ati meta
294,CCXCIV,Aadorunlerugba ati merin
295,CCXCV,Aadorunlerugba ati aarun
296,CCXCVI,Aadorunlerugba ati mefa
297,CCXCVII,Aadorunlerugba ati meje
298,CCXCVIII,Aadorunlerugba ati mejo
299,CCXCIX,Aadorunlerugba ati mesan
300,CCC,Odunrun
301,CCCI,Odunrun ati okan
302,CCCII,Odunrun ati meji
303,CCCIII,Odunrun ati meta
304,CCCIV,Odunrun ati merin
305,CCCV,Odunrun olemarunun
306,CCCVI,Odunrun ati mefa
307,CCCVII,Odunrun ati meje
308,CCCVIII,Odunrun ati mejo
309,CCCIX,Odunrun ati mesan
310,CCCX,Odunrun olemewaa
311,CCCXI,Odunrun olemewaa ati okan
312,CCCXXI,Odunrun olemewaa ati meji
313,CCCXIII,Odunrun olemewaa ati meta
314,CCCXIV,Odunrun olemewaa ati merin
315,CCCXV,Okoolloodunrun odunarunun
316,CCCXVI,Okoolloodunrun odunarunun ati mefa
317,CCCXVII,Okoolloodunrun odunarunun ati meje
318,CCCXVIII,Okoolloodunrun odunarunun ati mejo
319,CCCXIX,Okoolloodunrun odunarunun ati mesan
320,CCCXX,Okoolloodunrun
321,CCCXXI,Okoolloodunrun ati okan
