Number,Roman_Numeral,Yoruba
1432,MCDXXXII,Egbèje ati ejilelogbon
1433,MCDXXXIII,Egbèje ati etalelogbon
1434,MCDXXXIV,Egbèje ati erinlelogbon
1435,MCDXXXV,Egbèje ati arundinlogoji
1436,MCDXXXVI,Egbèje ati erindinlogoji
1437,MCDXXXVII,Egbèje ati etadinlogoji
1438,MCDXXXVIII,Egbèje ati ejidinlogoji
1439,MCDXXXIX,Egbèje ati okandinlogoji
1440,MCDXL,Egbèje ati ogoji
1441,MCDXLI,Egbèje ati okanlelogoji
1442,MCDXLII,Egbèje ati ejilelogoji
1443,MCDXLIII,Egbèje ati etalelogoji
1444,MCDXLIV,Egbèje ati erinlelogoji
1445,MCDXLV,Egbèje ati arundinladota
1446,MCDXLVI,Egbèje ati erindinladota
1447,MCDXLVII,Egbèje ati etadinladota
1448,MCDXLVIII,Egbèje ati ejidinladota
1449,MCDXLIX,Egbèje ati okandinladota
1450,MCDL,Egbèje ati adota
1451,MCDLI,Egbèje ati okanleladota
1452,MCDLII,Egbèje ati ejileladota
1453,MCDLIII,Egbèje ati etaleladota
1454,MCDLIV,Egbèje ati erinleladota
1455,MCDLV,Egbèje ati arundinlogota
1456,MCDLVI,Egbèje ati erindinlogota
1457,MCDLVII,Egbèje ati etadinlogota
1458,MCDLVIII,Egbèje ati ejidinlogota
1459,MCDLIX,Egbèje ati okandinlogota
1460,MCDLX,Egbèje ati ogota
1461,MCDLXI,Egbèje ati okanlelogota
1462,MCDLXII,Egbèje ati ejilelogota
1463,MCDLXIII,Egbèje ati etalelogota
1464,MCDLXIV,Egbèje ati erinlelogota
1465,MCDLXV,Egbèje ati arundiladorin
1466,MCDLXVI,Egbèje ati erindiladorin
1467,MCDLXVII,Egbèje ati etadiladorin
1468,MCDLXVIII,Egbèje ati ejidiladorin
1469,MCDLXIX,Egbèje ati okandiladorin
1470,MCDLXX,Egbèje ati adorin
1471,MCDLXXI,Egbèje ati okanlelad orin
1472,MCDLXXII,Egbèje ati ejilelad orin
1473,MCDLXXIII,Egbèje ati etaleladorin
1474,MCDLXXIV,Egbèje ati erinlelad orin
1475,MCDLXXV,Egbèje ati arundilogorin
1476,MCDLXXVI,Egbèje ati erindilogorin
1477,MCDLXXVII,Egbèje ati etadilogorin
1478,MCDLXXVIII,Egbèje ati ejidilogorin
1479,MCDLXXIX,Egbèje ati okandilogorin
1480,MCDLXXX,Egbèje ati ogorin
1481,MCDLXXXI,Egbèje ati okanlelogorin
1482,MCDLXXXII,Egbèje ati ejilelogorin
1483,MCDLXXXIII,Egbèje ati etalelogorin
1484,MCDLXXXIV,Egbèje ati erinlelogorin
1485,MCDLXXXV,Egbèje ati arundiladorun
1486,MCDLXXXVI,Egbèje ati erindiladorun
1487,MCDLXXXVII,Egbèje ati etadiladorun
1488,MCDLXXXVIII,Egbèje ati ejidiladorun
1489,MCDLXXXIX,Egbèje ati okandiladorun
1490,MCDXC,Egbèje ati adorun
1491,MCDXCI,Egbèje ati okanlelad orun
1492,MCDXCII,Egbèje ati ejilelad orun
1493,MCDXCIII,Egbèje ati etaleladorun
1494,MCDXCIV,Egbèje ati erinlelad orun
1495,MCDXCV,Egbèje ati arundilogorun
1496,MCDXCVI,Egbèje ati erindilogorun
1497,MCDXCVII,Egbèje ati etadilogorun
1498,MCDXCVIII,Egbèje ati ejidilogorun
1499,MCDXCIX,Egbèje ati okandilogorun
1500,MD,Edẹgbẹjo
1501,MDI,Edẹgbẹjo ati okan
1502,MDII,Edẹgbẹjo ati meji
1503,MDIII,Edẹgbẹjo ati meta
1504,MDIV,Edẹgbẹjo ati merin
1505,MDV,Edẹgbẹjo ati aarun
1506,MDVI,Edẹgbẹjo ati mefa
1507,MDVII,Edẹgbẹjo ati meje
1508,MDVIII,Edẹgbẹjo ati mejo
1509,MDIX,Edẹgbẹjo ati mesan
1510,MDX,Edẹgbẹjo ati eewa
1511,MDXI,Edẹgbẹjo ati okanla
1512,MDXII,Edẹgbẹjo ati ejila
1513,MDXIII,Edẹgbẹjo ati etala
1514,MDXIV,Edẹgbẹjo ati erinla
1515,MDXV,Edẹgbẹjo ati edogun
1516,MDXVI,Edẹgbẹjo ati erindinlogun
1517,MDXVII,Edẹgbẹjo ati etadinlogun
1518,MDXVIII,Edẹgbẹjo ati ejindinlogun
1519,MDXIX,Edẹgbẹjo ati okandinlogun
1520,MDXX,Edẹgbẹjo ati ogun
1521,MDXXI,Edẹgbẹjo ati okanlelogun
1522,MDXXII,Edẹgbẹjo ati ejilelogun
1523,MDXXIII,Edẹgbẹjo ati etalelogun
1524,MDXXIV,Edẹgbẹjo ati erinlelogun
1525,MDXXV,Edẹgbẹjo ati edogbon
1526,MDXXVI,Edẹgbẹjo ati erindinlogbon
1527,MDXXVII,Edẹgbẹjo ati etadinlogbon
1528,MDXXVIII,Edẹgbẹjo ati ejidinlogbon
1529,MDXXIX,Edẹgbẹjo ati okandinlogbon
1530,MDXXX,Edẹgbẹjo ati ogbon
1531,MDXXXI,Edẹgbẹjo ati okanlelogbon
1532,MDXXXII,Edẹgbẹjo ati ejilelogbon
1533,MDXXXIII,Edẹgbẹjo ati etalelogbon
1534,MDXXXIV,Edẹgbẹjo ati erinlelogbon
1535,MDXXXV,Edẹgbẹjo ati arundinlogoji
1536,MDXXXVI,Edẹgbẹjo ati erindinlogoji
1537,MDXXXVII,Edẹgbẹjo ati etadinlogoji
1538,MDXXXVIII,Edẹgbẹjo ati ejidinlogoji
1539,MDXXXIX,Edẹgbẹjo ati okandinlogoji
1540,MDXL,Edẹgbẹjo ati ogoji
1541,MDXLI,Edẹgbẹjo ati okanlelogoji
1542,MDXLII,Edẹgbẹjo ati ejilelogoji
1543,MDXLIII,Edẹgbẹjo ati etalelogoji
1544,MDXLIV,Edẹgbẹjo ati erinlelogoji
1545,MDXLV,Edẹgbẹjo ati arundinladota
1546,MDXLVI,Edẹgbẹjo ati erindinladota
1547,MDXLVII,Edẹgbẹjo ati etadinladota
1548,MDXLVIII,Edẹgbẹjo ati ejidinladota
1549,MDXLIX,Edẹgbẹjo ati okandinladota
1550,MDL,Edẹgbẹjo ati adota
1551,MDLI,Edẹgbẹjo ati okanleladota
1552,MDLII,Edẹgbẹjo ati ejileladota
1553,MDLIII,Edẹgbẹjo ati etaleladota
1554,MDLIV,Edẹgbẹjo ati erinleladota
1555,MDLV,Edẹgbẹjo ati arundinlogota
1556,MDLVI,Edẹgbẹjo ati erindinlogota
1557,MDLVII,Edẹgbẹjo ati etadinlogota
1558,MDLVIII,Edẹgbẹjo ati ejidinlogota
1559,MDLIX,Edẹgbẹjo ati okandinlogota
1560,MDLX,Edẹgbẹjo ati ogota
1561,MDLXI,Edẹgbẹjo ati okanlelogota
1562,MDLXII,Edẹgbẹjo ati ejilelogota
1563,MDLXIII,Edẹgbẹjo ati etalelogota
1564,MDLXIV,Edẹgbẹjo ati erinlelogota
1565,MDLXV,Edẹgbẹjo ati arundiladorin
1566,MDLXVI,Edẹgbẹjo ati erindiladorin
1567,MDLXVII,Edẹgbẹjo ati etadiladorin
1568,MDLXVIII,Edẹgbẹjo ati ejidiladorin
1569,MDLXIX,Edẹgbẹjo ati okandiladorin
1570,MDLXX,Edẹgbẹjo ati adorin
1571,MDLXXI,Edẹgbẹjo ati okanlelad orin
1572,MDLXXII,Edẹgbẹjo ati ejilelad orin
1573,MDLXXIII,Edẹgbẹjo ati etaleladorin
1574,MDLXXIV,Edẹgbẹjo ati erinlelad orin
1575,MDLXXV,Edẹgbẹjo ati arundilogorin
1576,MDLXXVI,Edẹgbẹjo ati erindilogorin
1577,MDLXXVII,Edẹgbẹjo ati etadilogorin
1578,MDLXXVIII,Edẹgbẹjo ati ejidilogorin
1579,MDLXXIX,Edẹgbẹjo ati okandilogorin
1580,MDLXXX,Edẹgbẹjo ati ogorin
1581,MDLXXXI,Edẹgbẹjo ati okanlelogorin
1582,MDLXXXII,Edẹgbẹjo ati ejilelogorin
1583,MDLXXXIII,Edẹgbẹjo ati etalelogorin
1584,MDLXXXIV,Edẹgbẹjo ati erinlelogorin
1585,MDLXXXV,Edẹgbẹjo ati arundiladorun
1586,MDLXXXVI,Edẹgbẹjo ati erindiladorun
1587,MDLXXXVII,Edẹgbẹjo ati etadiladorun
1588,MDLXXXVIII,Edẹgbẹjo ati ejidiladorun
1589,MDLXXXIX,Edẹgbẹjo ati okandiladorun
1590,MDXC,Edẹgbẹjo ati adorun
1591,MDXCI,Edẹgbẹjo ati okanlelad orun
1592,MDXCII,Edẹgbẹjo ati ejilelad orun
1593,MDXCIII,Edẹgbẹjo ati etaleladorun
1594,MDXCIV,Edẹgbẹjo ati erinlelad orun
1595,MDXCV,Edẹgbẹjo ati arundilogorun
1596,MDXCVI,Edẹgbẹjo ati erindilogorun
1597,MDXCVII,Edẹgbẹjo ati etadilogorun
1598,MDXCVIII,Edẹgbẹjo ati ejidilogorun
1599,MDXCIX,Edẹgbẹjo ati okandilogorun
1600,MDC,Egbẹjo
1601,MDCI,Egbẹjo ati okan
1602,MDCII,Egbẹjo ati meji
1603,MDCIII,Egbẹjo ati meta
1604,MDCIV,Egbẹjo ati merin
1605,MDCV,Egbẹjo ati aarun
1606,MDCVI,Egbẹjo ati mefa
1607,MDCVII,Egbẹjo ati meje
1608,MDCVIII,Egbẹjo ati mejo
1609,MDCIX,Egbẹjo ati mesan
1610,MDCX,Egbẹjo ati eewa
1611,MDCXI,Egbẹjo ati okanla
1612,MDCXII,Egbẹjo ati ejila
1613,MDCXIII,Egbẹjo ati etala
1614,MDCXIV,Egbẹjo ati erinla
1615,MDCXV,Egbẹjo ati edogun
1616,MDCXVI,Egbẹjo ati erindinlogun
1617,MDCXVII,Egbẹjo ati etadinlogun
1618,MDCXVIII,Egbẹjo ati ejindinlogun
1619,MDCXIX,Egbẹjo ati okandinlogun
1620,MDCXX,Egbẹjo ati ogun
1621,MDCXXI,Egbẹjo ati okanlelogun
1622,MDCXXII,Egbẹjo ati ejilelogun
1623,MDCXXIII,Egbẹjo ati etalelogun
1624,MDCXXIV,Egbẹjo ati erinlelogun
1625,MDCXXV,Egbẹjo ati edogbon
1626,MDCXXVI,Egbẹjo ati erindinlogbon
1627,MDCXXVII,Egbẹjo ati etadinlogbon
1628,MDCXXVIII,Egbẹjo ati ejidinlogbon
1629,MDCXXIX,Egbẹjo ati okandinlogbon
1630,MDCXXX,Egbẹjo ati ogbon
1631,MDCXXXI,Egbẹjo ati okanlelogbon
1632,MDCXXXII,Egbẹjo ati ejilelogbon
1633,MDCXXXIII,Egbẹjo ati etalelogbon
1634,MDCXXXIV,Egbẹjo ati erinlelogbon
1635,MDCXXXV,Egbẹjo ati arundinlogoji
1636,MDCXXXVI,Egbẹjo ati erindinlogoji
1637,MDCXXXVII,Egbẹjo ati etadinlogoji
1638,MDCXXXVIII,Egbẹjo ati ejidinlogoji
1639,MDCXXXIX,Egbẹjo ati okandinlogoji
1640,MDCXL,Egbẹjo ati ogoji
1641,MDCXLI,Egbẹjo ati okanlelogoji
1642,MDCXLII,Egbẹjo ati ejilelogoji
1643,MDCXLIII,Egbẹjo ati etalelogoji
1644,MDCXLIV,Egbẹjo ati erinlelogoji
1645,MDCXLV,Egbẹjo ati arundinladota
1646,MDCXLVI,Egbẹjo ati erindinladota
1647,MDCXLVII,Egbẹjo ati etadinladota
1648,MDCXLVIII,Egbẹjo ati ejidinladota
1649,MDCXLIX,Egbẹjo ati okandinladota
1650,MDCL,Egbẹjo ati adota
1651,MDCLI,Egbẹjo ati okanleladota
1652,MDCLII,Egbẹjo ati ejileladota
1653,MDCLIII,Egbẹjo ati etaleladota
1654,MDCLIV,Egbẹjo ati erinleladota
1655,MDCLV,Egbẹjo ati arundinlogota
1656,MDCLVI,Egbẹjo ati erindinlogota
1657,MDCLVII,Egbẹjo ati etadinlogota
1658,MDCLVIII,Egbẹjo ati ejidinlogota
1659,MDCLIX,Egbẹjo ati okandinlogota
1660,MDCLX,Egbẹjo ati ogota
1661,MDCLXI,Egbẹjo ati okanlelogota
1662,MDCLXII,Egbẹjo ati ejilelogota
1663,MDCLXIII,Egbẹjo ati etalelogota
1664,MDCLXIV,Egbẹjo ati erinlelogota
1665,MDCLXV,Egbẹjo ati arundiladorin
1666,MDCLXVI,Egbẹjo ati erindiladorin
1667,MDCLXVII,Egbẹjo ati etadiladorin
1668,MDCLXVIII,Egbẹjo ati ejidiladorin
1669,MDCLXIX,Egbẹjo ati okandiladorin
1670,MDCLXX,Egbẹjo ati adorin
1671,MDCLXXI,Egbẹjo ati okanlelad orin
1672,MDCLXXII,Egbẹjo ati ejilelad orin
1673,MDCLXXIII,Egbẹjo ati etaleladorin
1674,MDCLXXIV,Egbẹjo ati erinlelad orin
1675,MDCLXXV,Egbẹjo ati arundilogorin
1676,MDCLXXVI,Egbẹjo ati erindilogorin
1677,MDCLXXVII,Egbẹjo ati etadilogorin
1678,MDCLXXVIII,Egbẹjo ati ejidilogorin
1679,MDCLXXIX,Egbẹjo ati okandilogorin
1680,MDCLXXX,Egbẹjo ati ogorin
1681,MDCLXXXI,Egbẹjo ati okanlelogorin
1682,MDCLXXXII,Egbẹjo ati ejilelogorin
1683,MDCLXXXIII,Egbẹjo ati etalelogorin
1684,MDCLXXXIV,Egbẹjo ati erinlelogorin
1685,MDCLXXXV,Egbẹjo ati arundiladorun
1686,MDCLXXXVI,Egbẹjo ati erindiladorun
1687,MDCLXXXVII,Egbẹjo ati etadiladorun
1688,MDCLXXXVIII,Egbẹjo ati ejidiladorun
1689,MDCLXXXIX,Egbẹjo ati okandiladorun
1690,MDCXC,Egbẹjo ati adorun
1691,MDCXCI,Egbẹjo ati okanlelad orun
1692,MDCXCII,Egbẹjo ati ejilelad orun
1693,MDCXCIII,Egbẹjo ati etaleladorun
1694,MDXCIV,Egbẹjo ati erinlelad orun
1695,MDXCV,Egbẹjo ati arundilogorun
1696,MDXCVI,Egbẹjo ati erindilogorun
1697,MDXCVII,Egbẹjo ati etadilogorun
1698,MDXCVIII,Egbẹjo ati ejidilogorun
1699,MDXCIX,Egbẹjo ati okandilogorun
1700,MDCC,Edẹgbẹsan
1701,MDCCI,Edẹgbẹsan ati okan
1702,MDCCII,Edẹgbẹsan ati meji
1703,MDCCIII,Edẹgbẹsan ati meta
1704,MDCCIV,Edẹgbẹsan ati merin
1705,MDCCV,Edẹgbẹsan ati aarun
1706,MDCCVI,Edẹgbẹsan ati mefa
1707,MDCCVII,Edẹgbẹsan ati meje
1708,MDCCVIII,Edẹgbẹsan ati mejo
1709,MDCCIX,Edẹgbẹsan ati mesan
1710,MDCCX,Edẹgbẹsan ati eewa
1711,MDCCXI,Edẹgbẹsan ati okanla
1712,MDCCXII,Edẹgbẹsan ati ejila
1713,MDCCXIII,Edẹgbẹsan ati etala
1714,MDCCXIV,Edẹgbẹsan ati erinla
1715,MDCCXV,Edẹgbẹsan ati edogun
1716,MDCCXVI,Edẹgbẹsan ati erindinlogun
1717,MDCCXVII,Edẹgbẹsan ati etadinlogun
1718,MDCCXVIII,Edẹgbẹsan ati ejindinlogun
1719,MDCCXIX,Edẹgbẹsan ati okandinlogun
1720,MDCCXX,Edẹgbẹsan ati ogun
1721,MDCCXXI,Edẹgbẹsan ati okanlelogun
1722,MDCCXXII,Edẹgbẹsan ati ejilelogun
1723,MDCCXXIII,Edẹgbẹsan ati etalelogun
1724,MDCCXXIV,Edẹgbẹsan ati erinlelogun
1725,MDCCXXV,Edẹgbẹsan ati edogbon
1726,MDCCXXVI,Edẹgbẹsan ati erindinlogbon
1727,MDCCXXVII,Edẹgbẹsan ati etadinlogbon
1728,MDCCXXVIII,Edẹgbẹsan ati ejidinlogbon
1729,MDCCXXIX,Edẹgbẹsan ati okandinlogbon
1730,MDCCXXX,Edẹgbẹsan ati ogbon
1731,MDCCXXXI,Edẹgbẹsan ati okanlelogbon
1732,MDCCXXXII,Edẹgbẹsan ati ejilelogbon
1733,MDCCXXXIII,Edẹgbẹsan ati etalelogbon
1734,MDCCXXXIV,Edẹgbẹsan ati erinlelogbon
1735,MDCCXXXV,Edẹgbẹsan ati arundinlogoji
1736,MDCCXXXVI,Edẹgbẹsan ati erindinlogoji
1737,MDCCXXXVII,Edẹgbẹsan ati etadinlogoji
1738,MDCCXXXVIII,Edẹgbẹsan ati ejidinlogoji
1739,MDCCXXXIX,Edẹgbẹsan ati okandinlogoji
1740,MDCCXL,Edẹgbẹsan ati ogoji
1741,MDCCXLI,Edẹgbẹsan ati okanlelogoji
1742,MDCCXLII,Edẹgbẹsan ati ejilelogoji
1743,MDCCXLIII,Edẹgbẹsan ati etalelogoji
1744,MDCCXLIV,Edẹgbẹsan ati erinlelogoji
1745,MDCCXLV,Edẹgbẹsan ati arundinladota
1746,MDCCXLVI,Edẹgbẹsan ati erindinladota
1747,MDCCXLVII,Edẹgbẹsan ati etadinladota
1748,MDCCXLVIII,Edẹgbẹsan ati ejidinladota
1749,MDCCXLIX,Edẹgbẹsan ati okandinladota
1750,MDCCL,Edẹgbẹsan ati adota
1751,MDCCLI,Edẹgbẹsan ati okanleladota
1752,MDCCLII,Edẹgbẹsan ati ejileladota
1753,MDCCLIII,Edẹgbẹsan ati etaleladota
1754,MDCCLIV,Edẹgbẹsan ati erinleladota
1755,MDCCLV,Edẹgbẹsan ati arundinlogota
1756,MDCCLVI,Edẹgbẹsan ati erindinlogota
1757,MDCCLVII,Edẹgbẹsan ati etadinlogota
1758,MDCCLVIII,Edẹgbẹsan ati ejidinlogota
1759,MDCCLIX,Edẹgbẹsan ati okandinlogota
1760,MDCCLX,Edẹgbẹsan ati ogota
1761,MDCCLXI,Edẹgbẹsan ati okanlelogota
1762,MDCCLXII,Edẹgbẹsan ati ejilelogota
1763,MDCCLXIII,Edẹgbẹsan ati etalelogota
1764,MDCCLXIV,Edẹgbẹsan ati erinlelogota
1765,MDCCLXV,Edẹgbẹsan ati arundiladorin
1766,MDCCLXVI,Edẹgbẹsan ati erindiladorin
1767,MDCCLXVII,Edẹgbẹsan ati etadiladorin
1768,MDCCLXVIII,Edẹgbẹsan ati ejidiladorin
1769,MDCCLXIX,Edẹgbẹsan ati okandiladorin
1770,MDCCLXX,Edẹgbẹsan ati adorin
1771,MDCCLXXI,Edẹgbẹsan ati okanlelad orin
1772,MDCCLXXII,Edẹgbẹsan ati ejilelad orin
1773,MDCCLXXIII,Edẹgbẹsan ati etaleladorin
1774,MDCCLXXIV,Edẹgbẹsan ati erinlelad orin
1775,MDCCLXXV,Edẹgbẹsan ati arundilogorin
1776,MDCCLXXVI,Edẹgbẹsan ati erindilogorin
1777,MDCCLXXVII,Edẹgbẹsan ati etadilogorin
1778,MDCCLXXVIII,Edẹgbẹsan ati ejidilogorin
1779,MDCCLXXIX,Edẹgbẹsan ati okandilogorin
1780,MDCCLXXX,Edẹgbẹsan ati ogorin
1781,MDCCLXXXI,Edẹgbẹsan ati okanlelogorin
1782,MDCCLXXXII,Edẹgbẹsan ati ejilelogorin
1783,MDCCLXXXIII,Edẹgbẹsan ati etalelogorin
1784,MDCCLXXXIV,Edẹgbẹsan ati erinlelogorin
1785,MDCCLXXXV,Edẹgbẹsan ati arundiladorun
1786,MDCCLXXXVI,Edẹgbẹsan ati erindiladorun
1787,MDCCLXXXVII,Edẹgbẹsan ati etadiladorun
1788,MDCCLXXXVIII,Edẹgbẹsan ati ejidiladorun
1789,MDCCLXXXIX,Edẹgbẹsan ati okandiladorun
1790,MDCCXC,Edẹgbẹsan ati adorun
1791,MDCCXCI,Edẹgbẹsan ati okanlelad orun
1792,MDCCXCII,Edẹgbẹsan ati ejilelad orun
1793,MDCCXCIII,Edẹgbẹsan ati etaleladorun
1794,MDCCXCIV,Edẹgbẹsan ati erinlelad orun
1795,MDCCXCV,Edẹgbẹsan ati arundilogorun
1796,MDCCXCVI,Edẹgbẹsan ati erindilogorun
1797,MDCCXCVII,Edẹgbẹsan ati etadilogorun
1798,MDCCXCVIII,Edẹgbẹsan ati ejidilogorun
1799,MDCCXCIX,Edẹgbẹsan ati okandilogorun
1800,MDCCC,Egbẹsan
1801,MDCCCI,Egbẹsan ati okan
1802,MDCCCII,Egbẹsan ati meji
1803,MDCCCIII,Egbẹsan ati meta
1804,MDCCCIV,Egbẹsan ati merin
1805,MDCCCV,Egbẹsan ati aarun
1806,MDCCCVI,Egbẹsan ati mefa
1807,MDCCCVII,Egbẹsan ati meje
1808,MDCCCVIII,Egbẹsan ati mejo
1809,MDCCCIX,Egbẹsan ati mesan
1810,MDCCCX,Egbẹsan ati eewa
1811,MDCCCXI,Egbẹsan ati okanla
1812,MDCCCXII,Egbẹsan ati ejila
1813,MDCCCXIII,Egbẹsan ati etala
1814,MDCCCXIV,Egbẹsan ati erinla
1815,MDCCCXV,Egbẹsan ati edogun
1816,MDCCCXVI,Egbẹsan ati erindinlogun
1817,MDCCCXVII,Egbẹsan ati etadinlogun
1818,MDCCCXVIII,Egbẹsan ati ejindinlogun
1819,MDCCCXIX,Egbẹsan ati okandinlogun
1820,MDCCCXX,Egbẹsan ati ogun
1821,MDCCCXXI,Egbẹsan ati okanlelogun
1822,MDCCCXXII,Egbẹsan ati ejilelogun
1823,MDCCCXXIII,Egbẹsan ati etalelogun
1824,MDCCCXXIV,Egbẹsan ati erinlelogun
1825,MDCCCXXV,Egbẹsan ati edogbon
1826,MDCCCXXVI,Egbẹsan ati erindinlogbon
1827,MDCCCXXVII,Egbẹsan ati etadinlogbon
1828,MDCCCXXVIII,Egbẹsan ati ejidinlogbon
1829,MDCCCXXIX,Egbẹsan ati okandinlogbon
1830,MDCCCXXX,Egbẹsan ati ogbon
1831,MDCCCXXXI,Egbẹsan ati okanlelogbon
1832,MDCCCXXXII,Egbẹsan ati ejilelogbon
1833,MDCCCXXXIII,Egbẹsan ati etalelogbon
1834,MDCCCXXXIV,Egbẹsan ati erinlelogbon
1835,MDCCCXXXV,Egbẹsan ati arundinlogoji
1836,MDCCCXXXVI,Egbẹsan ati erindinlogoji
1837,MDCCCXXXVII,Egbẹsan ati etadinlogoji
1838,MDCCCXXXVIII,Egbẹsan ati ejidinlogoji
1839,MDCCCXXXIX,Egbẹsan ati okandinlogoji
1840,MDCCCXL,Egbẹsan ati ogoji
1841,MDCCCXLI,Egbẹsan ati okanlelogoji
1842,MDCCCXLII,Egbẹsan ati ejilelogoji
1843,MDCCCXLIII,Egbẹsan ati etalelogoji
1844,MDCCCXLIV,Egbẹsan ati erinlelogoji
1845,MDCCCXLV,Egbẹsan ati arundinladota
1846,MDCCCXLVI,Egbẹsan ati erindinladota
1847,MDCCCXLVII,Egbẹsan ati etadinladota
1848,MDCCCXLVIII,Egbẹsan ati ejidinladota
1849,MDCCCXLIX,Egbẹsan ati okandinladota
1850,MDCCCL,Egbẹsan ati adota
1851,MDCCCLI,Egbẹsan ati okanleladota
1852,MDCCCLII,Egbẹsan ati ejileladota
1853,MDCCCLIII,Egbẹsan ati etaleladota
1854,MDCCCLIV,Egbẹsan ati erinleladota
1855,MDCCCLV,Egbẹsan ati arundinlogota
1856,MDCCCLVI,Egbẹsan ati erindinlogota
1857,MDCCCLVII,Egbẹsan ati etadinlogota
1858,MDCCCLVIII,Egbẹsan ati ejidinlogota
1859,MDCCCLIX,Egbẹsan ati okandinlogota
1860,MDCCCLX,Egbẹsan ati ogota
1861,MDCCCLXI,Egbẹsan ati okanlelogota
1862,MDCCCLXII,Egbẹsan ati ejilelogota
1863,MDCCCLXIII,Egbẹsan ati etalelogota
1864,MDCCCLXIV,Egbẹsan ati erinlelogota
1865,MDCCCLXV,Egbẹsan ati arundiladorin
1866,MDCCCLXVI,Egbẹsan ati erindiladorin
1867,MDCCCLXVII,Egbẹsan ati etadiladorin
1868,MDCCCLXVIII,Egbẹsan ati ejidiladorin
1869,MDCCCLXIX,Egbẹsan ati okandiladorin
1870,MDCCCLXX,Egbẹsan ati adorin
1871,MDCCCLXXI,Egbẹsan ati okanlelad orin
1872,MDCCCLXXII,Egbẹsan ati ejilelad orin
1873,MDCCCLXXIII,Egbẹsan ati etaleladorin
1874,MDCCCLXXIV,Egbẹsan ati erinlelad orin
1875,MDCCCLXXV,Egbẹsan ati arundilogorin
1876,MDCCCLXXVI,Egbẹsan ati erindilogorin
1877,MDCCCLXXVII,Egbẹsan ati etadilogorin
1878,MDCCCLXXVIII,Egbẹsan ati ejidilogorin
1879,MDCCCLXXIX,Egbẹsan ati okandilogorin
1880,MDCCCLXXX,Egbẹsan ati ogorin
1881,MDCCCLXXXI,Egbẹsan ati okanlelogorin
1882,MDCCCLXXXII,Egbẹsan ati ejilelogorin
1883,MDCCCLXXXIII,Egbẹsan ati etalelogorin
1884,MDCCCLXXXIV,Egbẹsan ati erinlelogorin
1885,MDCCCLXXXV,Egbẹsan ati arundiladorun
1886,MDCCCLXXXVI,Egbẹsan ati erindiladorun
1887,MDCCCLXXXVII,Egbẹsan ati etadiladorun
1888,MDCCCLXXXVIII,Egbẹsan ati ejidiladorun
1889,MDCCCLXXXIX,Egbẹsan ati okandiladorun
1890,MDCCCXC,Egbẹsan ati adorun
1891,MDCCCXCI,Egbẹsan ati okanlelad orun
1892,MDCCCXCII,Egbẹsan ati ejilelad orun
1893,MDCCCXCIII,Egbẹsan ati etaleladorun
1894,MDCCCXCIV,Egbẹsan ati erinlelad orun
1895,MDCCCXCV,Egbẹsan ati arundilogorun
1896,MDCCCXCVI,Egbẹsan ati erindilogorun
1897,MDCCCXCVII,Egbẹsan ati etadilogorun
1898,MDCCCXCVIII,Egbẹsan ati ejidilogorun
1899,MDCCCXCIX,Egbẹsan ati okandilogorun
1900,MCM,Egbadinọgorun
1901,MCMI,Egbadinọgorun ati okan
1902,MCMII,Egbadinọgorun ati meji
1903,MCMIII,Egbadinọgorun ati meta
1904,MCMIV,Egbadinọgorun ati merin
1905,MCMV,Egbadinọgorun ati aarun
1906,MCMVI,Egbadinọgorun ati mefa
1907,MCMVII,Egbadinọgorun ati meje
1908,MCMVIII,Egbadinọgorun ati mejo
1909,MCMIX,Egbadinọgorun ati mesan
1910,MCMX,Egbadinọgorun ati eewa
1911,MCMXI,Egbadinọgorun ati okanla
1912,MCMXII,Egbadinọgorun ati ejila
1913,MCMXIII,Egbadinọgorun ati etala
1914,MCMXIV,Egbadinọgorun ati erinla
1915,MCMXV,Egbadinọgorun ati edogun
1916,MCMXVI,Egbadinọgorun ati erindinlogun
1917,MCMXVII,Egbadinọgorun ati etadinlogun
1918,MCMXVIII,Egbadinọgorun ati ejindinlogun
1919,MCMXIX,Egbadinọgorun ati okandinlogun
1920,MCMXX,Egbadinọgorun ati ogun
1921,MCMXXI,Egbadinọgorun ati okanlelogun
1922,MCMXXII,Egbadinọgorun ati ejilelogun
1923,MCMXXIII,Egbadinọgorun ati etalelogun
1924,MCMXXIV,Egbadinọgorun ati erinlelogun
1925,MCMXXV,Egbadinọgorun ati edogbon
1926,MCMXXVI,Egbadinọgorun ati erindinlogbon
1927,MCMXXVII,Egbadinọgorun ati etadinlogbon
1928,MCMXXVIII,Egbadinọgorun ati ejidinlogbon
1929,MCMXXIX,Egbadinọgorun ati okandinlogbon
1930,MCMXXX,Egbadinọgorun ati ogbon
1931,MCMXXXI,Egbadinọgorun ati okanlelogbon
1932,MCMXXXII,Egbadinọgorun ati ejilelogbon
1933,MCMXXXIII,Egbadinọgorun ati etalelogbon
1934,MCMXXXIV,Egbadinọgorun ati erinlelogbon
1935,MCMXXXV,Egbadinọgorun ati arundinlogoji
1936,MCMXXXVI,Egbadinọgorun ati erindinlogoji
1937,MCMXXXVII,Egbadinọgorun ati etadinlogoji
1938,MCMXXXVIII,Egbadinọgorun ati ejidinlogoji
1939,MCMXXXIX,Egbadinọgorun ati okandinlogoji
